x,Q2 (GeV^2),rate (Hz),A_clean,A_noisy,A_simplified,dA_stat,dA_sys_uncor,dA_sys_cor,d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.725,24.55,1.1967,-0.00132713,-0.00188312,-0.00132691,0.000385665,3.75369e-06,5.93511e-06,1.17189,0.164972,0.164646,0.164646,1.15858,0.562469,0.00547453,0.0133129,0.0161722,-0.000325293
0.725,24.65,1.4686,-0.00133292,-0.0014142,-0.0013327,0.000348138,3.77008e-06,5.96102e-06,0.286446,0.164962,0.164638,0.164638,0.277296,0.505612,0.0054754,0.00915021,0.0161929,-0.000323889
0.725,24.75,0.8267,-0.00133871,-0.000425201,-0.00133849,0.000464012,3.78645e-06,5.98691e-06,-0.838067,0.164952,0.164629,0.164629,-0.843049,0.671089,0.00547626,0.00498258,0.0162133,-0.000322509
0.725,24.85,0.8865,-0.0013445,-0.000844959,-0.00134428,0.000448088,3.80282e-06,6.01279e-06,-0.448554,0.164942,0.164621,0.164621,-0.45484,0.645369,0.0054771,0.00628556,0.0162334,-0.000321154
0.725,24.95,1.2274,-0.00135028,-0.0014795,-0.00135006,0.000380811,3.81918e-06,6.03865e-06,0.358905,0.164932,0.164612,0.164612,0.349439,0.546206,0.00547792,0.00946631,0.0162531,-0.000319823
0.725,25.05,0.5243,-0.00135606,-0.00137977,-0.00135584,0.000582657,3.83552e-06,6.06449e-06,0.19906,0.164922,0.164604,0.164604,0.190273,0.832278,0.00547873,0.0087868,0.0162724,-0.000318517
0.725,25.15,1.2336,-0.00136184,-0.0020108,-0.00136161,0.000379853,3.85186e-06,6.09032e-06,1.35102,0.164912,0.164595,0.164595,1.33675,0.540367,0.00547952,0.0142631,0.0162914,-0.000317235
0.725,25.25,1.1516,-0.00136761,-0.0019796,-0.00136738,0.000393144,3.86818e-06,6.11613e-06,1.25991,0.164903,0.164587,0.164587,1.24613,0.556993,0.0054803,0.0137842,0.01631,-0.000315979
0.725,25.35,1.444,-0.00137337,-0.00144905,-0.00137315,0.000351091,3.88449e-06,6.14192e-06,0.274488,0.164893,0.164578,0.164578,0.265379,0.495393,0.00548106,0.00910896,0.0163283,-0.000314748
0.725,25.45,0.9964,-0.00137914,-0.000603821,-0.00137891,0.000422655,3.90079e-06,6.16769e-06,-0.698744,0.164884,0.16457,0.16457,-0.704181,0.59396,0.00548181,0.00543664,0.0163462,-0.000313542
0.725,25.55,0.48,-0.0013849,-0.00104644,-0.00138467,0.000608951,3.91708e-06,6.19344e-06,-0.260469,0.164874,0.164562,0.164562,-0.267445,0.852318,0.00548254,0.00697543,0.0163637,-0.000312362
0.725,25.65,0.2595,-0.00139065,-0.00136229,-0.00139043,0.000828198,3.93335e-06,6.21918e-06,0.125705,0.164865,0.164554,0.164554,0.117215,1.15454,0.00548325,0.00849001,0.0163809,-0.000311207
0.735,21.15,0.2756,-0.00112512,0.000290524,-0.00112492,0.000803643,3.18232e-06,5.03169e-06,-1.36359,0.161151,0.160811,0.160811,-1.36702,1.36618,0.00540988,0.00342918,0.0151468,-0.000339956
0.735,21.25,1.6828,-0.00113094,-0.00122799,-0.00113074,0.000325227,3.19878e-06,5.05771e-06,0.33205,0.161139,0.160801,0.160801,0.322797,0.55017,0.00541121,0.00925334,0.0151781,-0.000338089
0.735,21.35,1.4232,-0.00113676,-0.00141289,-0.00113656,0.000353647,3.21524e-06,5.08374e-06,0.684413,0.161127,0.160791,0.160791,0.673592,0.595329,0.00541253,0.0108207,0.0152092,-0.000336237
0.735,21.45,2.2454,-0.00114258,-0.000938371,-0.00114238,0.00028155,3.23171e-06,5.10978e-06,-0.154995,0.161116,0.160781,0.160781,-0.16229,0.47166,0.00541384,0.007295,0.01524,-0.000334399
0.735,21.55,1.3191,-0.0011484,-0.00163882,-0.0011482,0.000367337,3.24818e-06,5.13582e-06,1.17861,0.161104,0.160772,0.160772,1.16538,0.612399,0.00541514,0.0132275,0.0152706,-0.000332576
0.735,21.65,1.323,-0.00115423,-0.0018679,-0.00115403,0.000366795,3.26465e-06,5.16186e-06,1.81609,0.161093,0.160762,0.160762,1.7994,0.608555,0.00541643,0.0166833,0.0153009,-0.000330768
0.735,21.75,1.7277,-0.00116005,-0.00135013,-0.00115985,0.000320973,3.28112e-06,5.1879e-06,0.500531,0.161081,0.160752,0.160752,0.490532,0.529983,0.0054177,0.00999849,0.015331,-0.000328976
0.735,21.85,1.6349,-0.00116588,-0.000903743,-0.00116568,0.000329957,3.29759e-06,5.21395e-06,-0.229284,0.16107,0.160743,0.160743,-0.236306,0.542222,0.00541897,0.00702287,0.0153608,-0.000327198
